No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time
154,30,30,Footstep,Generic,4,44.10014,-0.05030775,3.72821
155,120,0,Footstep,DL_Based,2,135.1501,-1.150307,3.177246
156,60,30,Footstep,Generic,3,-59.39987,0.9996948,4.293396
157,0,0,Footstep,3D_Based,2,-6.399872,28.89969,6.923584
158,30,30,PinkNoise,Generic,5,-39.79987,27.24966,5.013428
159,0,30,PinkNoise,3D_Based,5,-9.549866,37.59967,5.244202
160,60,0,PinkNoise,Generic,3,-45.79987,29.49966,5.440613
161,30,0,Footstep,DL_Based,4,44.9501,-2.70034,5.176453
162,180,30,PinkNoise,Generic,1,179.4001,34.29965,4.814087
163,90,0,Footstep,3D_Based,3,-93.09995,34.39966,9.711548
164,120,30,PinkNoise,DL_Based,1,-92.84998,-0.7503525,3.773071
165,30,30,Footstep,3D_Based,5,-41.34998,32.04965,3.977051
166,90,30,Footstep,DL_Based,3,93.04999,-1.950352,5.521729
167,0,30,Footstep,Generic,2,3.449984,-1.250352,2.833496
168,60,0,PinkNoise,Generic,5,-59.60001,0.1496277,3.941284
169,30,30,PinkNoise,3D_Based,2,7.649996,33.24963,4.813721
170,30,0,PinkNoise,Generic,4,37.75001,25.79962,5.896851
171,150,0,Footstep,Generic,1,149.6,0.04962158,5.903198
172,60,30,PinkNoise,Generic,2,-43.95001,26.39963,5.969116
173,180,0,PinkNoise,DL_Based,3,-179.95,-0.7503734,5.44165
174,120,0,PinkNoise,Generic,5,134.9,-0.9503736,2.778687
175,120,30,Footstep,DL_Based,4,-104.25,-0.05037326,4.97229
176,30,30,Footstep,Generic,5,-39.50003,27.24963,6.442017
177,60,30,Footstep,DL_Based,5,-44.10004,-2.450373,3.720093
178,150,0,PinkNoise,3D_Based,3,136.6499,-1.150373,5.393066
179,0,30,Footstep,3D_Based,5,-3.000092,-2.450379,6.13147
180,0,0,PinkNoise,Generic,4,0.04992587,-0.4503789,4.749634
181,90,0,PinkNoise,3D_Based,2,93.74995,-0.6503785,5.377197
182,180,30,Footstep,3D_Based,3,178.5499,-0.1503781,5.6521
183,120,0,PinkNoise,3D_Based,4,114.0999,1.149597,7.858643
184,0,30,PinkNoise,DL_Based,1,9.449929,-1.600385,5.767212
185,150,30,PinkNoise,Generic,1,-139.8501,-0.1003844,4.808838
186,30,30,Footstep,Generic,1,43.64994,-0.8503846,6.935669
187,0,30,PinkNoise,DL_Based,2,17.34993,-1.000385,4.241943
188,0,30,PinkNoise,DL_Based,3,12.39993,0.2996216,2.414795
189,30,30,Footstep,DL_Based,3,46.99997,-1.950386,7.88623
190,120,30,PinkNoise,3D_Based,4,-135.05,33.09961,4.470581
191,120,0,PinkNoise,3D_Based,3,119.8999,31.44962,4.755737
192,60,30,Footstep,3D_Based,5,-47.45001,-0.2503836,5.806641
193,30,0,Footstep,Generic,5,-31.85004,-1.200391,4.4375
194,120,30,Footstep,DL_Based,5,-97.54993,-1.900384,5.446533
195,30,0,PinkNoise,Generic,2,43.35004,28.94962,6.600586
196,90,30,PinkNoise,3D_Based,5,-90.54996,27.94962,4.080933
197,180,30,PinkNoise,3D_Based,5,-176.95,34.2496,3.880371
198,60,0,Footstep,Generic,4,-49.3999,29.89963,6.97522
199,150,0,Footstep,Generic,2,152.4501,-0.4003867,5.447021
200,90,30,PinkNoise,Generic,1,84.6501,34.99963,2.916626
201,150,0,PinkNoise,Generic,5,139.4501,1.399628,2.140625
202,0,0,PinkNoise,3D_Based,4,-0.749939,1.049622,3.434448
203,150,30,Footstep,DL_Based,4,159.1501,1.199615,5.57666
204,150,0,PinkNoise,3D_Based,5,-147.5999,2.599609,2.280884
205,0,30,Footstep,Generic,5,2.400089,30.64963,6.294922
206,180,0,PinkNoise,Generic,4,-177.0499,25.34961,5.443848
207,180,0,PinkNoise,DL_Based,4,-156.0499,-2.750388,6.762085
208,150,0,PinkNoise,Generic,2,137.5001,-1.250388,2.41333
209,150,30,Footstep,Generic,4,-146.0999,-0.0003883019,3.349976
